ron,Feature,Task,Hour,Description,Comment,Note,Discussion,Updated,,,,,
DevOps,,,,,,,,,,,,,
,Servers,Server Configuration,8,Configure development and production environments. Store and retrieve keys and secrets using a secret manager.,Checked,,,,,,,,
,,Dockerize Containers,4,Dockerize all relevant services and applications for consistent local and production environments.,Checked,,,,,,,,
,,CI/CD,4,"Set up CI/CD pipeline for automated testing, builds, and deployment to staging/production.",Checked,,,,,,,,
,,,,,,,,,,,,,
System,,,,,,,,,,,,,
,Image Service,,,,,,,,,,,,
,,Create,8,"- Upload to cloud storage
- Front-end cropper and file type validation
- Secure write access
- Assumes backend does not generate multiple resolutions",Checked,,,,,,,,
,,Read,6,"- Serve images through CDN with caching
- Secure read access",Checked,,,,,,,,
,,,,,,,,,,,,,
,Email Service,,,"Without trip begin, or trip end email notifications.",,,,,,,,,
,,Basic Email Template,4,"- Develop reusable HTML email template (header, footer, shared styles)
- Store in a third-party email platform (e.g., SendGrid or Mailchimp) to support future Zapier phase-out",Checked,,,,,,,,
,,Offline Message Notification Template,2,"- Email notification to fleet admin or user when a message is received and the recipient is offline
- Include both English and Dutch versions",Checked,,,,,,,,
,,Booking Confirmation Template,2,"- Triggered on booking confirmation
- Includes English and Dutch versions",Checked,,,,,,,,
,,Booking Update Template,2,"- Triggered when a booking is updated
- Includes English and Dutch versions",Checked,,,,,,,,
,,Booking Cancellation Template,2,"- Triggered when a booking is cancelled
- Includes English and Dutch versions",Checked,,,,,,,,
,,Abandoned Booking Reminder Template,2,"- Reminder email for abandoned bookings sent X hours after abandonment
- Includes English and Dutch versions
- One template per fleet admin; the X-hour delay is fixed system-wide and not configurable by fleet admins",Checked,,,,,,,,
,,Booking Start Reminder Email Template,2,"- Reminder sent N hours before the start of the booking
- Includes English and Dutch versions",Checked,,,,,,,,
,,Booking Return Reminder Email Template,2,"- Reminder sent N hours before the end of the booking
- Includes English and Dutch versions",Checked,,,10/12/2025,,,,,
,,Finalize Payment Email Template,2,"- Email sent when final payment is processed
- Includes English and Dutch versions",Checked,,,,,,,,
,,End trip Email Template,2,"- Email both fleet admin and system admin
- Includes English and Dutch versions",Checked,,,9/16/2025,,,,,
,,Payment to fleed admin Email Template,2,"- Email both fleet admin and system admin
- Includes English and Dutch versions",Checked,already included in notification,,9/16/2025,,,,,
,,Fleet Sign Up Pending Email Template,2,"- Email both fleet admin and system admin
- Includes English and Dutch versions",Checked,,,8/26/2025,,,,,
,,Fleed Sign Up Approval Email Template,2,"- Email both fleet admin and system admin
- Includes English and Dutch versions",Checked,,,8/26/2025,,,,,
,,Customer to Fleet Review Email Template,2,"- Email both fleet admin and system admin
- Includes English and Dutch versions",Checked,,,9/2/2025,,,,,
,,,,,,,,,,,,,
,Cron Service,Booking Reminder,6,"-  Upcoming trip: Triggers a reminder email N days before the booking start date
- Camper return today: Triggers one day before the the return
- The value of N is stored in a config file
- Applies system-wide (not configurable per fleet admin)",Checked,,,10/12/2025,,,,,
,,Abandoned Booking Reminder,6,"- Periodically checks for abandoned bookings
- Sends a reminder email to the user encouraging them to complete the booking",Checked,,,,,,,,
,,Partial Payment Auto-Charge,8,"- Automatically charges the remaining balance when the booking is less than 30 days away
- Assumes integration with the payment system",Checked,,,,,,,,
,,Automate Payment for Fleet Admin,8,"- Automatically calculates and transfers earnings to each fleet admin based on completed bookings
- Runs on a fixed schedule (e.g., daily or weekly)
- Assumes integration with Stripe Connect or equivalent for payout
- Includes fee calculation (e.g., subtracting platform commission)
- Logs and stores payout records for reporting and audit purposes",Checked,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Language service,Language Service,8,"- Backend key-value mapping system
- Used for both system language translation (e.g., feature labels) and fleet-customized content
- Used for content, such as vehicle title, description
- it's not used for database ENUM type
- It's not used for UI language",Checked,"We need to check how many languages ​​we want to have.
If we need to use 3 or more languages, we should consider some translation libraries,
and also maybe automate the translations from English.
Workflow Idea
- Keep English as the source language in JSON files.
- Add a script (Node.js CLI) that:
- Reads en.json.
- For missing keys in fr.json, es.json, etc., calls Google/DeepL/OpenAI API.
- Saves back updated translation files.
- In dev, fallback to English if a translation is missing.","Need to reconsider, if this is really needed.",08/28/2025,,,,,
,,Available Languages,1,"- List of supported languages
- Internal database access only (not exposed in admin UI)",Checked,,,08/28/2025,,,,,
,,UI Language ,0,Use library like React-i18next. The hour is broken down into each feature.,Checked,,,08/28/2025,,,,,
,,,,,,,,,,,,,
,Payment,,,,,,,,,,,,
,,Stripe Credit Card Integration,8,Setup and test payment flow with Stripe Elements,,"We probably need to implement partial payment
that will also take some time",,,,,,,
,,iDEAL Payment Integration,5,Enable and test iDEAL as an alternative method,,"Stripe as a single integration
Stripe is your main payment processor.
You create a PaymentIntent (or Checkout Session), and you tell Stripe which payment methods you want to accept (e.g., ""card"", ""ideal"").
Stripe handles the routing to either card processing or iDEAL, depending on what the customer selects.",,,,,,,
,,Booking Flow Update,6,Connect booking confirmation to trigger Stripe payment,,,,,,,,,
,,Stripe Connect Setup,16,Enable multi-fleet payout via Stripe Connect,,,,,,,,,
,,Fleet Admin Onboarding,,"- KYC support, assuming we're using the FE component from Stripe to handle",,,,,,,,,
,,Fleet Admin Management,12,UI and backend for managing connected accounts,,,,,,,,,
,,Error Handling & Logging,6,Implement transaction logging and error management,,,,,,,,,
,,,,,,,,,,,,,
,,Booking Payment Deposit,8,- Apply a percentage-based deposit if the reservation is made more than 30 days before pickup,,,,,,,,,
,,Balance Due (30 Days),0,Balance is automatically charged 30 days before pickup (handled in cron auto-charge),,,,,,,,,
,,Refund Handling,8,"- Supports partial or full refunds based on cancellation timing:  
• 0–30 days before pickup → No refund  
• 30–60 days before pickup → 50% refund  
• 60+ days before pickup → Full refund
",,,,,,,,,
,,,,,,"I see sum is 69 hours for payment system
So it looks fair enough
But here we sould allocate the time for: 
- testing while developing (it could take a most of the time)
- set up on dev and prod environment
- documentation (optional, but would be good)
- unit tests (optional)

So in my opnion payment integration could take 80 hours (2 weeks)
If include parial payments and other things - ~1 more week (+-40 hours)",,,,,,,
,Price Service,,,,,,,,,,,,
,,Quote calculation,20,"- Calculates pricing based on date range, base price, vehicles, add-ons, rules, tax, and discount codes
- Includes rules such as seasonal pricing and length-of-booking adjustments
- Applies traveler service fee (fixed or percentage, configured in super admin panel)
- Applies fleet admin service fee (fixed or percentage, configured in super admin panel)
- Returns detailed line items, total price, and deposit breakdown",Chcekced,,,,,,,,
,,,,,,,,,,,,,
,Availability Service,,,,,,,,,,,,
,,Campervan Availability,16,"- Retrieves availability dates for a specific campervan within a given date range
- Used in booking date pickers, search filters, and booking validation",Chcekced,,,,,,,,
,,Turnaround time,2,"- Adjust logic to exclude buffer days after each booking
- Use fleet admin’s configured turnaround value
- Also handle time for cleaning
- Campervan sometimes needs cleaning and won't be ready by 10am
need to block off the pickup time before 10
2hr prep for each campervan
fleet admin need to have the option to define the prep/cleaning hour",Chcekced,,,9/4/2025,Report,,,,
,,,,,,,,,,,,,
Public Webpage,,,,,,,,,provide iframe support for fleet admins,,,,
,,,,,,,,,,,,,
,Browse Campervan,,,,,,,,,,,,
,,Campervan List,8,"- Display a list of available campervans based on default criteria or current availability window
- Replace FE API
- Paginated",checked,,,,,,,,
,,Campervan search,8,"- Allow users to search by keyword, pickup location, or campervan name/title
- Simple database query-based search (no external service like Elasticsearch)
- Replace FE API
- Similar to what we have now",checked,,,9/4/2025,,,,,
,,Campervan filter,8,"- Filter campervans by location and date range
- Additional filters: vehicle type, seating capacity, sleeping capacity, features, and comfort options (based on current list)
- Replace existing frontend API with new backend implementation
- Similar to what we have now",checked,,,9/4/2025,,,,,
,,Campervan sort,4,"- sort by position or price
- Similar to what we have now",checked,,,9/4/2025,,,,,
,,Campervan detailed view,14,"- Show full details of a selected campervan, including name, images, description, vehicle details, amenities, location, extras, daily price, and calendar availability
- Replace the current frontend API call with the new backend
- Pull all required details from the new system instead of Wheelbase Pro",checked,,,,,,,,
,,Alternative Date Suggestion,12,"- When no campervan is found for the selected dates, suggest alternative options
- Search for available campervans in the same city for nearby or future dates
- Assuming we use simple algorithm
   • Trigger a new query to search for available campervans:
   • In the same location
   • For the same duration
   • Within a search window (e.g., +7 days from original check-in)",checked,,Discuss the algorithm,,,,,,
,,Quotes,4,"- Estimate the total booking price for a campervan based on:
• Date range 
• Selected extras/add-ons 
• Fleet-specific pricing rules and fees
- Used in booking summary, search results, and campervan details
- Display the price breakdown. The calculation uses the price service listed in system section.",checked,,,,,,,,
,,,,,,,,,,,,,
,Locations,,,,,,,,,,,,
,,Location list,6,"Retrieve and display a list of fleet locations (cities or pickup points)- Used in search filters, campervan listings, and booking forms
",checked,,,9/4/2025,,,,,
,,,,,,,,,,,,,
,,Addons / Equipments / items,6,"API to receive a list of items, show detailed information.",checked,,,9/4/2025,,,,,
,,,,,,,,,,,,,
,Others,,,,,,,,,,,,
,,WBP to New App API data transformation,24,"- Repalce WheelbasePro backend with the in house backend api
- For each api call, match data, transform data if needed",checked,,,9/16/2025,,,,,
,,,,,,,,,,,,,
,User account,Sign Up,4,"- Email-based sign-up plus SSO support (next line)
- Email verification via link or code",Checked,,,9/4/2025,,,,,
,,SSO Support,8,"Supports
- Google
- iCloud",Checked,,,9/4/2025,,,,,
,,Profile on Signup,2,"- Basic profile creating on sign up, first name, last name, no image
- Without 2FA",Checked,,,9/4/2025,,,,,
,,Profile photo add/update,8,"- Support profile photo
- User FE to preview,  compress image and crop
- Does not transcode image to various resolutions",,,,10/16/2025,,,,,
,,Login,3,- User account login using email and password,Checked,,,9/4/2025,,,,,
,,Forgot Password,5,"- User enters email address
- System sends HTML email with password reset link",Checked,,,9/4/2025,,,,,
,,Header avatar,2,"- Display name when user is signed in
- When user is not signed in, show login option
- Use shorf form of first name. Ie, Henry would show H.",Checked,,,9/4/2025,,,,,
,,,,,,,,,,,,,
,User account,,,,,,,,,,,,
,,Manage Payment Methods,24,"- List saved payment methods (e.g., cards)
- Add new card using Stripe
- Remove saved cards
- Securely handle and display data via Stripe integration",Checked,,,9/4/2025,,,,,
,,Personal Details & Security,8,"- Allow user to update name
- Allow user to change password securely, ask for current password and new password.
- Without 2FA",Checked,,,9/4/2025,,,,,
,User Dashboard,,,,,,,,,,,,
,,Dashboard Home,8,"- User landing dashboard showing high-level overview (e.g., upcoming bookings, quick actions)",,,,,,,,,
,,Booking Lists,8,- Display upcoming and past bookings linked to the logged-in user,Checked,,,9/4/2025,,,,,
,,Booking Detailed View,16,"- View booking details
- Add “Update” and “Cancel” buttons",Checked,,,9/4/2025,,,,,
,,Bokoing Detailed View Magic Token,4,"- Generate and validate a magic token to allow users to access booking details without signing in (e.g., from confirmation or reminder emails)",Checked,,,9/4/2025,,,,,
,,Update Booking,30,"- Modify booking details
- Pre-fill page with existing data
- Recalculate pricing
- Adjust payment via Stripe (charge or refund)
- Apply booking adjustment policy
- Send booking modification email
- Respect refund policy",Checked,"There can be many issues such as:
If the full price was paid and the user updated to a lower price
If the partial price was paid and the user updated to a lower price
If the user updated the date but it is already booked by another user
And so on

We need to find out all the cases and take them all into account",,9/4/2025,,,,,
,,Cancel Booking,8,"- Cancel booking with confirmation
- Apply refund rules (none, partial, or full)
- Send cancellation email",Checked,,,9/4/2025,,,,,
,,Continue Abandoned Booking,8,"- User clicks email link to resume an abandoned booking
- assuming we don't need magic token for this
- Load booking details
- Allow checkout
- Check campervan availability",Checked,,,9/4/2025,,,,,
,,Booking Message List,6,"- List of booking threads
- Show unread indicator (e.g., red dot) on threads with unread messages
- similar to bookings, before we get into the message thread of each booking",Checked,,,9/4/2025,,,,,
,,,,,,,,,,,,,
,Checkout,,,,,,,,,,,,
,,Custom checkout page,20,"- Build a custom front-end checkout flow
- Integrate Stripe as the payment gateway
- Embed Stripe’s UI components to ensure credit card data goes directly to Stripe (PCI compliant)
- Handle payment errors and user feedback
- Display pricing summary including extras and taxes
- Store booking and payment reference info in the database
- Assumes Stripe handles transaction and receipt details",Checked,,,9/2/2025,,,,,
,,Partial Payment,12,"- Enable 50% upfront payment if booking is made more than 30 days in advance
- Remaining balance is due before pickup (typically before customer arrives)
- System sends payment reminder email N days before the booking date
- For bookings ≤ 30 days, full payment is required at time of booking
- Skip annual, next phase. Designed for annual policy: 50% upfront, 50% late. Assuming no annual membership.
- Assuming no membership plan concpt.
- Display information of upcoming payment and past past payment for this booking.",Checked,,,9/2/2025,,,,,
,,,,,,,,,,,,,
,Payment Unit Tests,Unit Test,16,"- Write unit tests for payment-related flows: 
• Booking creation with payment 
• Booking update with price adjustment and refund/charge 
• Booking cancellation with refund handling
- Validate transaction recording and Stripe integration behavior",Checked,,,9/2/2025,,,,,
,,,,,,,,,,,,,
,Customer to Fleet Review,,,,,,,,,,,,
,,Review category,4,"- Up to 5 review categories, ie, cleaniness, value for money, staff
- defined systemwide in database, not definable in admin panel
- each category has a 5 point system",Checked,,,9/2/2025,,,,,
,,Write review,16,"Customer rate review
- Email review link after each trip
- Magic link
- 5 point system for each category
- And a text only comment
- Recalculate the average points for each category and the total score
- Total score is 10 point system, similar to booking.com, simply formula
- UI interface to write review
- review is based on campervan-booking",Checked,,,9/2/2025,,,,,
,,,,,,,,,,,,,
,,Read review,12,"Read a list of reviews
- show total score, 10 point system, should be pre-calculated
- show point for each category, 5 point system
- show review
- pagination
- ordered by review date
- assuming there is no other filter or sort in this phase",Checked,,,9/2/2025,,,,,
,,Read review summary,6,"- similar ot the review summary in booking.com, one on top of apartment detaield view and one at the bottom.",Checked,,,9/4/2025,,,,,
,,,,,,,,,,,,,
,AI Chat Assistance - customers with reservations,,,- Cannot reuse the messaging app between the customer and the fleet owner,,,,,,,,,
,,AI note About the vehicle and rental,4,"- A text field note about the vehicle, such as faq, important information. Text note that the AI can read.",,,,,,,,,
,,Data compilation,8,"- Compile relevant information for the customer from the database, such a vehicle spec, vehicle scheudle (in case the user needs to extend the rental)
- Creates an API",,,,,,,,,
,,User Identity & Permissions Check,3,- Validate user ID/session before sharing booking data - Prevents unauthorized access to other users’ bookings,,,,,,,,,
,,Chat Session Context Builder,6,"- Middleware in n8n or backend that fetches info and composes prompt - e.g., “User has booking #XYZ, here’s the vehicle summary…”",,,,,,,,,
,,OpenAI Integration (via n8n),4,"- Use n8n’s OpenAI node for prompt/response - Configure error handling, streaming (if needed), and retry logic",,,,,,,,,
,,AI Message Routing Logic,4,"- Use logic in n8n to detect intent: info request, modify, cancel, etc. - Trigger corresponding workflow branch",,,,,,,,,
,,Custom Action Handler (Optional),0,"- Assuming not in this phase
- Handle special cases: e.g., extend booking, report issue, contact fleet owner - May call internal APIs or trigger human follow-up",,,,,,,,,
,,n8n Workflow Integration,4,"- Set up flexible workflows in n8n for escalation, fallback, or integrations (e.g., Slack, email, Intercom, Twilio)",,,,,,,,,
,,,,,,,,,,,,,
,AI Chatbot Support - General User,,,,,,,,,,,,
,,Intercom integration,0,"General AI help, included in general support. Assuming custom data is not reuqired to pass into Intercom.",,,,,,,,,
,,,,,,,,,,,,,
,Privacy and Data Management,,,TBD,,,,,,,,,
,,,,,,,,,,,,,
,Analytics,Google analytic integration,2,"Integration on public website page, without custom event tracking.",,,,,,,,,
,,,,,,,,,,,,,
,Reports,Financial report,8,"- start date, end date, itemized rentals (booking id, start date, end date, amount, tax)
- total amount and total tax in the duration.
- group by vehicle",,need to understand the content,,,,,,,
,,Financial report - print to pdf,6,"print financial report to pdf, simple fomrat",,,,,,,,,
,,Usage report,,"same as financial report?
- does it need to show the usage of all additional items?",,,,,,,,,
,,,,,,,,,,,,,
,Check in,Travler check in pages,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Sync Marketing Email Contact,Sync Mailchimp Contact,,Sync email contacts from app to marketin email like mailchimp,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,IFrame embed,,,,,,,,,,,,
User Dashboard & Fleet Admin,,,,,,,,,,,,,
,Message Center,,,,,,,,,,,,
,,Notification,4,- Send email notification to user when a new message is received and they are offline,Checked,,,8/28/2025,,,,,
,,Twilio integration,2,- Set up Twilio account and messaging service configuration,Checked,,,8/28/2025,,,,,
,,Twilio Backend integration,8,"- Implement server-side logic: 
• User identity mapping 
• Access token generation 
• Chat room creation 
• Webhook endpoints",Checked,"Twilio Conversations API
Replacement for Programmable Chat.
Lets create chat “conversations” that can include multiple participants (users).
Supports messaging over SMS, WhatsApp, and Web chat.
We can:
- Map a user identity → participant in a conversation.
- Generate access tokens (using Twilio’s SDKs or your own backend).
- Create chat rooms → called “conversations.”
- Configure webhooks for message events, participant added/removed, delivery, etc.
https://console.twilio.com/us1/develop/conversations/overview?activeTab=summary",,8/28/2025,,,,,
,,Booking Message Frontend Chat UI,16,"- Design and build booking-level messaging UI 
• Text-only support 
• Display message history 
• Enable live sending and receiving of messages",Checked,,Text only,8/28/2025,,,,,
,,Image Support,,,,,,,,,,,
,,Initial load,8,"Initial loads, load the last N messages initially.",Checked,,,8/28/2025,,,,,
,,HIstory chat loading,6,"On scrolling back it loads older history, calling the API and render older messages.",Checked,,,8/28/2025,,,,,
,,Webhook Handling,4,"- Process Twilio events such as: 
• User joined/left 
• Message sent/deleted",Checked,,,8/28/2025,,,,,
,,Authentication Linking,3,"- Securely link logged-in users to Twilio
- Generate and manage Twilio access tokens",Checked,,,8/28/2025,,,,,
,,,,,,,,,,,,,
,Media File Support in Chat ,support photos and videos (Photo + Video Files in Chat),,Support photos and videos (Photo + Video Files in Chat),,,,10/16/2025,,,,,
,,Frontend Upload UI,6,"File select UI, preview, validation, progress display",,,,10/16/2025,,,,,
,,Twilio Media Upload,4,Use Twilio Conversations media API to upload files,,,,10/16/2025,,,,,
,,Display Media in Chat,4,"Render thumbnails for images, embedded video for supported formats",,,,10/16/2025,,,,,
,,Backend Security,3,"Validate media types, proxy file handling, optional signed URLs",,,,10/16/2025,,,,,
,,Storage & Retention Handling,2,Handle media expiration/lifecycle if required,,,,,,,,,
,,,,,,,,,,,,,
,Twilio Video Calling ,,,,,,,,,,,,
,,Twilio Video Room Setup,6,"Setup Twilio Video credentials, token generation, and room API",,,,10/16/2025,,,,,
,,User Interface for Call,6,"Call button, camera/mic toggle, full screen UI, call duration, etc.",,,,10/16/2025,,,,,
,,Signaling Integration,4,"Detect incoming/outgoing call requests (e.g., via chat or alert modal)",,,,10/16/2025,,,,,
,,Device Handling,5,"Camera/microphone permission handling, fallback/error states",,,,10/16/2025,,,,,
,,Video Call Event Handling,2,"Track join/leave events, timeouts, participant errors",,,,10/16/2025,,,,,
,,,,,,,,,,,,,
,General support,Intercom integration,4,"- General intercom integration. Assume system admin manages and create the content.
- With AI support
",,,,,,,,,
,,,,,,,,,,,,,
Fleet Admin Panel,,,,"- Assuming mobile responsive is not a requirement.
- Support tablet form, desktop form
- Full mobile responsive support for messaging",Checked,,,8/25/2025,,,,,
,Account,Sign Up,4,"- Email-based sign-up only
- Email verification via link or code
- Reduced time from similar feature from user",Checked,,Does this require approval?,8/21/2025,,,,,
,,Create personal profile,2,"- First and last name
- Phone (without validation)
- initial phase to have one admin for each fleet, later to support more users and roles for each fleet
- build it in the way so that it's easy to change architecturally ",Checked,,,,,,,,
,,Create fleet profile,4,"- Fleet business name
- Website
- Phone number (without validation)
- Email (without validation)
- Timezone should be associated to a location
- Default locale
- Default currency",Checked,,,,,,,,
,,Login,2,"- User account login using email and password
- Reduced time from similar feature from user",Checked,,,8/21/2025,,,,,
,,Forgot Password,2,"- User enters email address
- System sends HTML email with password reset link
- Reduced time from similar feature from user",Checked,,,8/21/2025,,,,,
,,UI Language,3,"- Enable language switching in this section of the admin UI
- Assumes support for two languages
- Does not include translation of content",Checked,,,9/5/2025,,,,,
,,,,,,,,,,,,,
,Role,,,,,"I think it would be useful for a super admin to have access to any fleet admin panel. For example, the admin user can switch to the fleet panel in the dropdown and see the same thing that a specific fleet admin sees. This can be useful for troubleshooting some issues that may have occurred in any fleet admin panel and checking if everything is working properly or any other issues or questions.",,,,,,,
,,Role,4,"- secondary role, manager or staff
- assign role(s) to each controller and test",Checked,,,9/16/2025,,,,,
,,,,,,,,,,,,,
,Permission,,,,,,,,,,,,
,,Permission,4,"- manager or staff can't view financial information
- assign permissions(s) to each controller and test",Checked,,,9/16/2025,,,,,
,,,,,,,,,,,,,
,Fleet profile,,,,,,,,,,,,
,,Fleet on Creating Approval Process,2,"- On creating a fleet, the default status is set to pending, an admin must approve
- Block access until account is approved. Not seeing any feature related to the fleet at all.
- Does not include the UI interface for admin to approve or reject",Checked,,,8/26/2025,,,,,
,,Update fleet profile,2,"- Fleet business name
- Website
- Phone number (without validation)
- Email (without validation)
- Default locale
- Default currency",Checked,,,8/21/2025,,,,,
,,UI Language,1,"- Enable language switching in this section of the admin UI
- Assumes support for two languages
- Does not include translation of content",,,,,,,,,
,,,,,,,,,,,,,
,Campervan Management,,,,,,,,,,,,
,,List Campervans,12,"- Display a list of all campervans associated with the current fleet admin
- Includes pagination and basic detail preview",Checked,,,8/21/2025,,,,,
,,Search,0,- Search by name (deferred to future phase),Checked,,,8/21/2025,,,,,
,,Filter,0,- Filtering campervans (deferred to future phase),Checked,,,8/21/2025,,,,,
,,Create Campervan,8,"- Create and register a new campervan with basic configuration
- Includes form validation and data model integration",Checked,,,8/21/2025,,,,,
,,Batch Create Campervan,,,,,,,,,,,
,,Update Campervan,8,- Edit existing campervan details via form interface,Checked,,,8/21/2025,,,,,
,,View Campervan,8,"- View campervan details in a read-only format
- Calendar availability view is excluded in this phase",Checked,,,8/21/2025,,,,,
,,Delete Campervan,2,- Soft delete (marks campervan as inactive without removing from the database),Checked,,,8/21/2025,,,,,
,,,,,,,,,,,,,
,,Base Specifications,16,"- Assumes all fields are free-form text or numbers (no lookup tables or presets)
- Vehicle type (enum)
- Seatbelt, Year, length (numbers)
- make, model, trim, class (string)
- Transimission, Fuel Type (enum)
- km/l, GVWR, Dry weight, amps (number)
- height, width, length with hitch, box length (number / 100 or string)
- water tank, fuel, propane, black water, gray water (number /100 or string)
- sleep, sleep adult, sleep children (numbers)
- king bed, queen bed, full bed, twin bed (numbers)
- internal info
  - license plate (string)
  - replacement value (number)
  - mileage (number)",Checked,,"Need to know what fields are needed or not needed from this page.

https://dashboard.wheelbasepro.com/rentals/469927/edit",8/25/2025,,,,,
,,Unit preference,8,"- Same options as in WBP
  - Distance
  - Length
  - Weight
  - Liquids
- Fleet admin has the ability to choose unit
- Render chosen units for vehicle",Checked,,,8/25/2025,,,,,
,,"Import year,make,model, and trim",0,"- Assuming thse are free text fields, no relational data",,,,,,,,,
,,Photos Management,16,"- Add, remove, reorder campervan photos
- No auto-enhance or category-specific handling (e.g., interior vs. exterior)",Checked,,,8/21/2025,,,,,
,,YouTube Video Link Support,8,"- Support YouTube video link for media collection
- Assuming it does not validate the link
 - Display video on UI if the content is a YouTube ilnk
- Backend and db support",Checked,,,8/21/2025,,,,,
,,Feature Flags,8,"- Toggle key campervan features (e.g., toilet, kitchen sink, radio) using boolean flags
- Support feature category
- Up to 50 features, 5 categories
- Boolean (true/false only), without any other data type
- DB setup, UI & BE create and update support",Checked,,,8/21/2025,,,,,
,,Associate Locations/Features,4,- Assign campervan to locations and feature categories,Checked,,,8/21/2025,,,,,
,,Tax Association,0,"- Assign tax rules or codes to campervan
- Remove this, to simplify things, we associate tax rate to a location, not a vehicle",Checked,,,8/25/2025,,,,,
,,Base Rate & Deposit,4,"- Set base daily rate and required security deposit
- Assuming deposit is charged on picking up the car, not through the app.
- On the day of pick up, have the system to charge the deposit fee, handle failure, in this case, another form of payment",Checked,,"When to charge deposit? How to charge? 
- to revisit",8/21/2025,,,,,
,,,,,,,,,,,,,
,,Block Date Range,16,"- Block availability for specified date ranges for a vehicle
- Add, edit, and remove blocked periods",Checked,,,8/28/2025,,,,,
,,Upcoming Bookings,4,"- List upcoming bookings tied to a specific campervan
- Next N bookings, not all",Checked,,,8/28/2025,,,,,
